,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.329,0.33,3.74,4.938,391.0,2144.0,1.0
beta,1.947,0.105,1.756,2.152,12308.0,15869.0,1.0
sigma_u,0.995,0.382,0.349,1.666,334.0,1637.0,1.01
sigma_v,1.012,0.166,0.686,1.298,432.0,1413.0,1.0
U[0],0.589,0.46,0.0,1.428,2515.0,8363.0,1.0
U[1],0.87,0.64,0.0,2.014,1044.0,4906.0,1.0
U[2],1.648,1.059,0.007,3.48,463.0,2249.0,1.0
U[3],1.238,0.84,0.0,2.71,611.0,3827.0,1.0
U[4],0.419,0.355,0.0,1.072,10073.0,9122.0,1.0
U[5],0.677,0.522,0.0,1.623,1601.0,5506.0,1.0
U[6],0.406,0.351,0.0,1.052,12144.0,9720.0,1.0
U[7],1.504,0.988,0.0,3.211,508.0,3199.0,1.0
U[8],0.552,0.441,0.0,1.346,2599.0,7125.0,1.0
U[9],0.91,0.654,0.0,2.076,880.0,4122.0,1.0
U[10],0.455,0.374,0.0,1.137,6457.0,6743.0,1.0
U[11],0.701,0.532,0.0,1.668,1756.0,5817.0,1.0
U[12],0.453,0.377,0.0,1.144,8334.0,9790.0,1.0
U[13],1.177,0.798,0.0,2.567,642.0,3029.0,1.0
U[14],1.247,0.841,0.001,2.724,628.0,3329.0,1.0
U[15],1.017,0.719,0.0,2.306,716.0,3726.0,1.0
U[16],1.085,0.772,0.001,2.473,679.0,3359.0,1.0
U[17],0.665,0.517,0.0,1.601,2100.0,7041.0,1.0
U[18],1.177,0.818,0.0,2.623,630.0,3320.0,1.0
U[19],0.705,0.538,0.0,1.684,2009.0,6748.0,1.0
U[20],0.641,0.491,0.0,1.519,2174.0,8608.0,1.0
U[21],0.434,0.363,0.0,1.089,6361.0,8269.0,1.0
U[22],0.446,0.368,0.0,1.122,8586.0,10520.0,1.0
U[23],0.431,0.36,0.0,1.081,8650.0,9882.0,1.0
U[24],1.019,0.718,0.0,2.285,819.0,4334.0,1.0
U[25],0.787,0.586,0.0,1.851,1272.0,5291.0,1.0
U[26],0.485,0.394,0.0,1.207,5584.0,7523.0,1.0
U[27],0.873,0.632,0.0,2.005,979.0,4765.0,1.0
U[28],0.83,0.613,0.0,1.952,1077.0,5157.0,1.0
U[29],0.485,0.391,0.0,1.203,6314.0,10289.0,1.0
U[30],1.194,0.816,0.0,2.636,596.0,3242.0,1.0
U[31],0.53,0.42,0.0,1.297,4750.0,9889.0,1.0
U[32],0.541,0.431,0.0,1.331,3463.0,5337.0,1.0
U[33],0.503,0.406,0.0,1.235,4673.0,8167.0,1.0
U[34],0.65,0.502,0.0,1.567,2082.0,7822.0,1.0
U[35],0.523,0.421,0.0,1.294,4501.0,8858.0,1.0
U[36],0.79,0.58,0.0,1.832,1239.0,6258.0,1.0
U[37],1.034,0.732,0.001,2.345,676.0,4417.0,1.0
U[38],0.643,0.498,0.0,1.553,2214.0,8121.0,1.0
U[39],0.348,0.3,0.0,0.894,13721.0,8752.0,1.0
U[40],0.77,0.574,0.0,1.816,1280.0,5897.0,1.0
U[41],0.594,0.46,0.0,1.422,2504.0,7235.0,1.0
U[42],0.564,0.443,0.0,1.375,3128.0,7759.0,1.0
U[43],0.653,0.504,0.0,1.571,2183.0,6908.0,1.0
U[44],1.104,0.765,0.0,2.452,554.0,3197.0,1.0
U[45],0.541,0.428,0.0,1.308,4178.0,9062.0,1.0
U[46],0.649,0.503,0.0,1.56,1906.0,7897.0,1.0
U[47],1.804,1.135,0.003,3.734,446.0,2387.0,1.0
U[48],0.638,0.495,0.0,1.536,2151.0,7420.0,1.0
U[49],0.328,0.287,0.0,0.851,16138.0,9889.0,1.0
U[50],1.197,0.82,0.0,2.634,605.0,3497.0,1.0
U[51],0.735,0.546,0.001,1.719,1386.0,6890.0,1.0
U[52],0.71,0.541,0.0,1.69,1490.0,6213.0,1.0
U[53],1.339,0.892,0.0,2.91,534.0,3555.0,1.0
U[54],1.226,0.833,0.001,2.679,575.0,3166.0,1.0
U[55],0.412,0.352,0.0,1.053,8707.0,9093.0,1.0
U[56],0.892,0.648,0.0,2.06,932.0,4908.0,1.0
U[57],0.309,0.278,0.0,0.824,14175.0,9719.0,1.0
U[58],1.207,0.827,0.0,2.649,604.0,3514.0,1.0
U[59],1.976,1.222,0.014,4.056,431.0,2323.0,1.0
U[60],0.395,0.338,0.0,1.017,10011.0,8358.0,1.0
U[61],0.581,0.461,0.0,1.416,2522.0,4463.0,1.0
U[62],0.418,0.351,0.0,1.062,8263.0,9387.0,1.0
U[63],0.892,0.652,0.0,2.053,987.0,4575.0,1.0
U[64],1.107,0.777,0.0,2.487,744.0,3312.0,1.0
U[65],0.684,0.525,0.0,1.642,1597.0,6008.0,1.0
U[66],0.57,0.453,0.0,1.389,2559.0,6773.0,1.0
U[67],0.971,0.688,0.0,2.196,775.0,4179.0,1.0
U[68],0.675,0.514,0.0,1.608,1881.0,6655.0,1.0
