,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.238,0.326,3.651,4.838,383.0,1699.0,1.01
beta,1.965,0.1,1.774,2.145,13657.0,16807.0,1.0
sigma_u,1.041,0.379,0.365,1.688,321.0,1549.0,1.02
sigma_v,0.944,0.171,0.619,1.242,406.0,1239.0,1.01
U[0],0.612,0.466,0.0,1.455,3018.0,9081.0,1.0
U[1],0.963,0.666,0.0,2.141,927.0,5181.0,1.01
U[2],1.826,1.07,0.031,3.601,538.0,2737.0,1.01
U[3],1.365,0.872,0.001,2.848,521.0,3705.0,1.01
U[4],0.392,0.33,0.0,0.996,11788.0,9078.0,1.0
U[5],0.622,0.477,0.0,1.482,2649.0,8380.0,1.0
U[6],0.387,0.331,0.0,0.991,12313.0,8632.0,1.0
U[7],1.583,0.959,0.008,3.179,565.0,3118.0,1.01
U[8],0.525,0.421,0.0,1.288,5213.0,7818.0,1.0
U[9],0.917,0.636,0.0,2.043,1084.0,5418.0,1.01
U[10],0.468,0.381,0.0,1.164,7512.0,8715.0,1.0
U[11],0.741,0.54,0.0,1.709,1818.0,8277.0,1.0
U[12],0.459,0.38,0.0,1.141,7807.0,9311.0,1.0
U[13],1.232,0.8,0.0,2.599,669.0,3245.0,1.01
U[14],1.229,0.796,0.0,2.592,699.0,4244.0,1.01
U[15],1.105,0.727,0.0,2.369,691.0,4066.0,1.01
U[16],1.16,0.77,0.0,2.5,805.0,3664.0,1.01
U[17],0.64,0.489,0.0,1.524,2491.0,8846.0,1.0
U[18],1.275,0.819,0.0,2.666,627.0,3988.0,1.01
U[19],0.739,0.539,0.0,1.702,1794.0,6980.0,1.0
U[20],0.693,0.509,0.0,1.604,1886.0,8630.0,1.0
U[21],0.453,0.371,0.0,1.133,9163.0,8278.0,1.0
U[22],0.433,0.36,0.0,1.089,10703.0,9837.0,1.0
U[23],0.443,0.364,0.0,1.109,8282.0,8724.0,1.0
U[24],1.12,0.738,0.0,2.389,784.0,4611.0,1.01
U[25],0.855,0.609,0.0,1.952,1286.0,6852.0,1.0
U[26],0.531,0.417,0.0,1.286,4679.0,9313.0,1.0
U[27],0.948,0.655,0.0,2.105,1083.0,5551.0,1.01
U[28],0.889,0.625,0.0,1.99,1180.0,4934.0,1.01
U[29],0.468,0.384,0.0,1.169,7543.0,7176.0,1.0
U[30],1.326,0.84,0.0,2.744,712.0,3780.0,1.01
U[31],0.57,0.446,0.0,1.375,3774.0,8177.0,1.0
U[32],0.536,0.422,0.0,1.298,5628.0,10045.0,1.0
U[33],0.472,0.383,0.0,1.171,6798.0,7937.0,1.0
U[34],0.644,0.483,0.0,1.515,2506.0,8125.0,1.0
U[35],0.518,0.414,0.0,1.258,5410.0,9849.0,1.0
U[36],0.832,0.595,0.0,1.887,1211.0,5997.0,1.01
U[37],1.047,0.714,0.001,2.3,737.0,4649.0,1.01
U[38],0.709,0.52,0.0,1.634,1817.0,7208.0,1.0
U[39],0.345,0.299,0.0,0.891,12534.0,9150.0,1.0
U[40],0.746,0.541,0.0,1.716,1791.0,7784.0,1.0
U[41],0.552,0.435,0.0,1.337,3199.0,7255.0,1.0
U[42],0.584,0.447,0.0,1.384,3374.0,9851.0,1.0
U[43],0.687,0.514,0.0,1.618,2054.0,6471.0,1.0
U[44],1.042,0.704,0.001,2.267,912.0,4514.0,1.01
U[45],0.511,0.412,0.0,1.262,5149.0,9264.0,1.0
U[46],0.65,0.496,0.0,1.543,2196.0,7226.0,1.0
U[47],2.047,1.167,0.0,3.914,408.0,2177.0,1.01
U[48],0.716,0.527,0.0,1.643,1678.0,6963.0,1.0
U[49],0.332,0.29,0.0,0.864,14221.0,9442.0,1.0
U[50],1.308,0.831,0.0,2.716,653.0,3149.0,1.01
U[51],0.742,0.541,0.0,1.712,1746.0,5633.0,1.0
U[52],0.782,0.564,0.001,1.796,1502.0,6166.0,1.0
U[53],1.552,0.951,0.0,3.127,522.0,3066.0,1.01
U[54],1.232,0.792,0.0,2.599,751.0,4066.0,1.01
