,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.874,0.277,4.361,5.395,2058.0,4929.0,1.0
beta,2.033,0.081,1.883,2.184,13636.0,16134.0,1.0
sigma_u,0.926,0.363,0.327,1.565,297.0,994.0,1.02
sigma_v,1.449,0.266,0.91,1.877,402.0,1070.0,1.01
lam,-1.587,0.614,-2.676,-0.316,1367.0,2267.0,1.0
U[0],0.672,0.518,0.0,1.622,1702.0,6210.0,1.0
U[1],0.469,0.379,0.0,1.158,4163.0,9074.0,1.0
U[2],1.037,0.774,0.0,2.451,650.0,2349.0,1.01
U[3],0.762,0.574,0.0,1.818,1234.0,3894.0,1.0
U[4],0.534,0.423,0.0,1.307,2426.0,6312.0,1.0
U[5],0.586,0.463,0.0,1.441,2034.0,5762.0,1.0
U[6],1.248,0.92,0.0,2.93,510.0,2130.0,1.01
U[7],0.509,0.401,0.0,1.246,3345.0,7340.0,1.0
U[8],0.352,0.299,0.0,0.897,8830.0,9045.0,1.0
U[9],0.596,0.464,0.0,1.43,2278.0,5932.0,1.0
U[10],0.499,0.399,0.0,1.229,4010.0,7267.0,1.0
U[11],0.328,0.283,0.0,0.838,7620.0,7461.0,1.0
U[12],0.558,0.436,0.0,1.355,2500.0,6100.0,1.0
U[13],1.01,0.755,0.0,2.371,731.0,2631.0,1.01
U[14],0.639,0.492,0.0,1.53,1798.0,6245.0,1.0
U[15],1.127,0.837,0.0,2.664,590.0,2269.0,1.01
U[16],0.837,0.628,0.0,1.975,963.0,3267.0,1.0
U[17],0.633,0.486,0.0,1.519,1729.0,6001.0,1.0
U[18],0.528,0.419,0.0,1.286,2672.0,7574.0,1.0
U[19],0.958,0.708,0.0,2.246,653.0,2854.0,1.01
U[20],1.039,0.768,0.0,2.435,680.0,2410.0,1.01
U[21],0.749,0.563,0.0,1.763,1073.0,3530.0,1.0
U[22],0.661,0.509,0.0,1.587,1778.0,5127.0,1.0
U[23],0.66,0.505,0.0,1.579,1674.0,5651.0,1.0
U[24],0.592,0.462,0.0,1.436,1947.0,5771.0,1.0
U[25],0.615,0.475,0.0,1.486,1755.0,6235.0,1.0
U[26],0.688,0.529,0.0,1.657,1373.0,4674.0,1.0
U[27],1.237,0.908,0.0,2.891,541.0,1664.0,1.01
U[28],0.725,0.556,0.0,1.751,1389.0,5073.0,1.0
U[29],0.235,0.217,0.0,0.633,13323.0,8953.0,1.0
U[30],0.881,0.662,0.0,2.087,835.0,2920.0,1.01
U[31],0.973,0.731,0.0,2.279,721.0,3279.0,1.01
U[32],0.808,0.601,0.0,1.911,1038.0,3996.0,1.0
U[33],0.739,0.559,0.0,1.766,1160.0,3525.0,1.0
U[34],0.976,0.719,0.0,2.299,796.0,3158.0,1.01
U[35],0.935,0.7,0.0,2.209,754.0,2498.0,1.01
U[36],0.428,0.352,0.0,1.072,5359.0,9502.0,1.0
U[37],0.445,0.371,0.0,1.118,5464.0,8951.0,1.0
U[38],0.947,0.707,0.0,2.224,821.0,3344.0,1.01
U[39],0.36,0.307,0.0,0.917,7737.0,8630.0,1.0
U[40],0.439,0.359,0.0,1.087,3745.0,8602.0,1.0
U[41],0.393,0.332,0.0,1.005,5271.0,7161.0,1.0
U[42],0.398,0.33,0.0,0.999,6528.0,7838.0,1.0
U[43],0.324,0.279,0.0,0.834,10204.0,9363.0,1.0
U[44],0.729,0.554,0.0,1.736,1301.0,4816.0,1.0
U[45],0.567,0.439,0.0,1.37,1847.0,5825.0,1.0
U[46],0.689,0.527,0.0,1.645,1442.0,4858.0,1.0
U[47],1.112,0.816,0.0,2.596,575.0,2250.0,1.01
U[48],1.274,0.935,0.0,2.96,488.0,2128.0,1.01
U[49],0.325,0.281,0.0,0.836,8351.0,7312.0,1.0
U[50],0.585,0.454,0.0,1.414,2183.0,7448.0,1.0
U[51],0.628,0.484,0.0,1.503,1754.0,4569.0,1.0
U[52],0.941,0.694,0.0,2.212,796.0,2784.0,1.01
U[53],0.799,0.601,0.0,1.886,1012.0,3137.0,1.01
U[54],0.717,0.541,0.0,1.704,1448.0,4313.0,1.0
U[55],0.427,0.353,0.0,1.07,5564.0,8048.0,1.0
U[56],0.451,0.367,0.0,1.119,4777.0,8211.0,1.0
U[57],0.845,0.629,0.0,1.988,900.0,3344.0,1.0
U[58],0.756,0.572,0.0,1.797,1086.0,4469.0,1.01
U[59],1.388,1.021,0.0,3.231,475.0,1841.0,1.01
U[60],0.26,0.238,0.0,0.698,11580.0,8633.0,1.0
U[61],0.62,0.481,0.0,1.491,2039.0,5635.0,1.0
U[62],0.738,0.562,0.0,1.76,1342.0,4943.0,1.0
U[63],0.499,0.402,0.0,1.232,3112.0,8829.0,1.0
U[64],0.831,0.629,0.0,1.991,989.0,3525.0,1.01
U[65],0.552,0.442,0.0,1.366,2540.0,7572.0,1.0
U[66],0.75,0.572,0.0,1.803,1220.0,4133.0,1.0
U[67],0.297,0.267,0.0,0.791,9680.0,8591.0,1.0
U[68],0.54,0.425,0.0,1.31,2365.0,6754.0,1.0
U[69],0.34,0.293,0.0,0.88,9205.0,8985.0,1.0
U[70],0.833,0.625,0.001,1.974,1061.0,3666.0,1.01
U[71],1.417,1.038,0.0,3.296,420.0,1677.0,1.01
U[72],0.682,0.524,0.0,1.634,1631.0,5305.0,1.0
U[73],0.804,0.599,0.0,1.898,1099.0,3408.0,1.0
U[74],0.589,0.458,0.0,1.413,2294.0,7125.0,1.0
U[75],0.754,0.576,0.0,1.792,1153.0,4185.0,1.0
