,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.366,0.55,3.358,5.404,5465.0,10265.0,1.0
beta,2.325,0.186,1.993,2.69,23718.0,17303.0,1.0
sigma_u,0.815,0.352,0.267,1.477,2414.0,4585.0,1.0
sigma_v,1.629,0.275,1.148,2.162,8645.0,9657.0,1.0
lam,-0.663,0.456,-1.455,-0.0,10329.0,10462.0,1.0
U[0],0.561,0.481,0.0,1.427,7931.0,9811.0,1.0
U[1],0.821,0.687,0.0,2.099,5347.0,8836.0,1.0
U[2],1.0,0.834,0.0,2.554,3864.0,7503.0,1.0
U[3],1.055,0.87,0.0,2.697,3772.0,6725.0,1.0
U[4],0.362,0.328,0.0,0.955,12974.0,9151.0,1.0
U[5],0.6,0.519,0.0,1.544,7371.0,9921.0,1.0
U[6],0.424,0.376,0.0,1.112,12913.0,10654.0,1.0
U[7],0.696,0.59,0.0,1.787,5818.0,9428.0,1.0
U[8],0.494,0.427,0.0,1.268,11107.0,10869.0,1.0
U[9],0.636,0.537,0.0,1.622,6119.0,8347.0,1.0
U[10],0.547,0.468,0.0,1.384,7860.0,10233.0,1.0
U[11],0.654,0.555,0.0,1.673,6100.0,10344.0,1.0
U[12],0.606,0.513,0.0,1.542,6779.0,9120.0,1.0
U[13],0.509,0.441,0.0,1.315,9145.0,9326.0,1.0
U[14],0.565,0.481,0.0,1.448,8915.0,10288.0,1.0
U[15],0.675,0.572,0.0,1.726,6142.0,9579.0,1.0
U[16],0.923,0.772,0.0,2.363,4079.0,8359.0,1.0
U[17],0.444,0.389,0.0,1.152,11416.0,10251.0,1.0
U[18],0.773,0.652,0.0,1.97,5195.0,8679.0,1.0
U[19],0.588,0.508,0.0,1.496,7953.0,8852.0,1.0
U[20],0.427,0.379,0.0,1.111,11754.0,9831.0,1.0
U[21],0.624,0.532,0.0,1.595,6885.0,8672.0,1.0
U[22],0.667,0.562,0.0,1.698,5619.0,9861.0,1.0
U[23],0.66,0.556,0.0,1.68,5987.0,8476.0,1.0
U[24],0.705,0.597,0.0,1.809,5759.0,10014.0,1.0
U[25],0.809,0.684,0.0,2.066,4929.0,7159.0,1.0
U[26],0.541,0.469,0.0,1.39,9165.0,10778.0,1.0
U[27],0.54,0.461,0.0,1.375,8409.0,9460.0,1.0
U[28],0.623,0.53,0.0,1.592,6655.0,9049.0,1.0
U[29],0.656,0.558,0.0,1.688,5949.0,9069.0,1.0
U[30],0.666,0.564,0.0,1.689,6136.0,9081.0,1.0
U[31],0.741,0.638,0.0,1.921,5106.0,9006.0,1.0
U[32],0.881,0.751,0.0,2.287,4512.0,7251.0,1.0
U[33],0.586,0.504,0.0,1.509,7487.0,9185.0,1.0
U[34],0.652,0.55,0.0,1.678,6306.0,8905.0,1.0
U[35],1.087,0.898,0.0,2.777,3713.0,6225.0,1.0
U[36],0.497,0.428,0.0,1.271,10988.0,11990.0,1.0
U[37],0.963,0.809,0.0,2.476,3946.0,6742.0,1.0
U[38],0.854,0.718,0.0,2.203,4714.0,8293.0,1.0
U[39],0.557,0.482,0.0,1.424,7769.0,9025.0,1.0
U[40],0.633,0.534,0.0,1.611,6744.0,10496.0,1.0
U[41],0.542,0.47,0.0,1.393,7954.0,9943.0,1.0
U[42],0.524,0.451,0.0,1.35,9854.0,11877.0,1.0
U[43],0.643,0.545,0.0,1.625,7027.0,9440.0,1.0
U[44],0.515,0.442,0.0,1.31,9576.0,11495.0,1.0
U[45],0.288,0.265,0.0,0.773,15481.0,9766.0,1.0
U[46],0.737,0.629,0.0,1.9,5269.0,9505.0,1.0
U[47],0.761,0.65,0.0,1.958,5871.0,10273.0,1.0
U[48],0.498,0.431,0.0,1.278,10069.0,10975.0,1.0
U[49],0.611,0.531,0.0,1.582,7232.0,10210.0,1.0
