,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,5.101,0.302,4.528,5.651,1700.0,5662.0,1.0
beta,1.987,0.094,1.81,2.161,15623.0,17727.0,1.0
sigma_u,0.931,0.369,0.33,1.611,520.0,1156.0,1.0
sigma_v,1.404,0.27,0.868,1.878,909.0,1299.0,1.0
lam,-2.068,0.786,-3.577,-0.572,7892.0,6741.0,1.0
U[0],0.576,0.435,0.0,1.356,3196.0,7608.0,1.0
U[1],0.896,0.653,0.0,2.09,1318.0,4423.0,1.0
U[2],1.422,1.047,0.0,3.356,804.0,2171.0,1.0
U[3],1.151,0.831,0.001,2.671,1050.0,3234.0,1.0
U[4],0.336,0.281,0.0,0.85,11931.0,9968.0,1.0
U[5],0.608,0.457,0.001,1.441,2555.0,8018.0,1.0
U[6],0.325,0.282,0.0,0.838,11264.0,9240.0,1.0
U[7],1.284,0.93,0.0,2.993,868.0,2557.0,1.0
U[8],0.509,0.392,0.0,1.221,3970.0,10309.0,1.0
U[9],0.849,0.616,0.0,1.968,1554.0,5212.0,1.0
U[10],0.427,0.337,0.0,1.036,6552.0,8797.0,1.0
U[11],0.705,0.521,0.0,1.656,2150.0,6785.0,1.0
U[12],0.427,0.34,0.0,1.048,6055.0,9438.0,1.0
U[13],1.07,0.774,0.0,2.483,972.0,2993.0,1.0
U[14],1.066,0.78,0.0,2.484,1085.0,3296.0,1.0
U[15],0.982,0.713,0.0,2.282,1157.0,3708.0,1.0
U[16],1.039,0.761,0.0,2.443,1080.0,2819.0,1.0
U[17],0.631,0.477,0.0,1.499,2406.0,6511.0,1.0
U[18],1.101,0.804,0.001,2.574,1027.0,2641.0,1.0
U[19],0.712,0.523,0.0,1.653,1913.0,5857.0,1.0
U[20],0.659,0.5,0.0,1.571,2263.0,6343.0,1.0
U[21],0.418,0.332,0.0,1.027,5929.0,7128.0,1.0
U[22],0.384,0.312,0.0,0.955,7674.0,6971.0,1.0
U[23],0.401,0.322,0.0,0.978,5011.0,5284.0,1.0
U[24],0.989,0.712,0.0,2.277,1217.0,3557.0,1.0
U[25],0.799,0.584,0.0,1.858,1649.0,4860.0,1.0
U[26],0.509,0.39,0.0,1.218,3717.0,8359.0,1.0
U[27],0.866,0.629,0.0,1.998,1468.0,4774.0,1.0
U[28],0.825,0.607,0.0,1.935,1567.0,5032.0,1.0
U[29],0.43,0.342,0.0,1.053,6600.0,8326.0,1.0
U[30],1.128,0.814,0.0,2.606,1023.0,3006.0,1.0
U[31],0.532,0.415,0.0,1.279,4352.0,7546.0,1.0
U[32],0.499,0.385,0.0,1.203,4312.0,8318.0,1.0
U[33],0.435,0.344,0.0,1.053,7552.0,9179.0,1.0
U[34],0.625,0.467,0.0,1.467,2691.0,7769.0,1.0
U[35],0.492,0.377,0.0,1.178,3933.0,6490.0,1.0
U[36],0.785,0.577,0.0,1.833,1743.0,6321.0,1.0
U[37],0.946,0.694,0.0,2.216,1202.0,3083.0,1.0
U[38],0.669,0.497,0.0,1.565,2600.0,5776.0,1.0
U[39],0.28,0.246,0.0,0.729,11556.0,7811.0,1.0
U[40],0.706,0.521,0.0,1.649,1784.0,6834.0,1.0
U[41],0.514,0.397,0.0,1.234,4301.0,8643.0,1.0
U[42],0.554,0.419,0.0,1.308,3502.0,8018.0,1.0
U[43],0.663,0.493,0.0,1.547,2183.0,7015.0,1.0
U[44],0.939,0.694,0.0,2.22,1315.0,4123.0,1.0
U[45],0.493,0.379,0.0,1.174,4362.0,7800.0,1.0
U[46],0.641,0.488,0.0,1.534,2409.0,7183.0,1.0
U[47],1.571,1.136,0.0,3.643,722.0,1804.0,1.0
U[48],0.695,0.511,0.0,1.629,1793.0,5761.0,1.0
U[49],0.27,0.243,0.0,0.715,14884.0,9395.0,1.0
U[50],1.102,0.808,0.0,2.585,1005.0,3200.0,1.0
U[51],0.692,0.512,0.0,1.615,2316.0,5261.0,1.0
U[52],0.74,0.554,0.0,1.745,1832.0,4876.0,1.0
U[53],1.271,0.919,0.0,2.953,844.0,3016.0,1.0
U[54],1.06,0.775,0.0,2.487,1045.0,3265.0,1.0
U[55],0.348,0.289,0.0,0.876,9841.0,7884.0,1.0
U[56],0.823,0.607,0.0,1.931,1558.0,4427.0,1.0
U[57],0.25,0.228,0.0,0.671,13780.0,9024.0,1.0
U[58],1.016,0.746,0.0,2.388,1208.0,3119.0,1.0
U[59],1.662,1.207,0.001,3.89,715.0,1837.0,1.0
U[60],0.31,0.265,0.0,0.791,12694.0,8627.0,1.0
U[61],0.524,0.405,0.0,1.258,3649.0,7745.0,1.0
U[62],0.349,0.288,0.0,0.875,9028.0,7607.0,1.0
U[63],0.822,0.598,0.0,1.905,1404.0,4765.0,1.0
U[64],1.006,0.74,0.0,2.374,1167.0,3618.0,1.0
