,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.16,0.21,3.751,4.521,250.0,349.0,1.01
beta,1.917,0.05,1.824,2.012,13881.0,16420.0,1.0
sigma_u,1.021,0.258,0.508,1.448,232.0,315.0,1.01
sigma_v,0.918,0.098,0.749,1.101,262.0,558.0,1.01
U[0],1.18,0.696,0.002,2.36,782.0,3233.0,1.0
U[1],0.344,0.296,0.0,0.881,15279.0,10805.0,1.0
U[2],0.693,0.493,0.0,1.567,1826.0,5966.0,1.0
U[3],0.91,0.586,0.0,1.924,1344.0,5986.0,1.0
U[4],1.249,0.717,0.005,2.443,706.0,2238.0,1.0
U[5],1.349,0.752,0.025,2.599,625.0,2326.0,1.0
U[6],0.452,0.368,0.0,1.117,10243.0,10897.0,1.0
U[7],0.94,0.611,0.002,1.993,1166.0,5437.0,1.0
U[8],0.908,0.589,0.0,1.931,1167.0,7827.0,1.0
U[9],0.612,0.455,0.0,1.424,2886.0,9214.0,1.0
U[10],0.654,0.478,0.0,1.504,2716.0,9274.0,1.0
U[11],0.725,0.507,0.0,1.621,2099.0,8756.0,1.0
U[12],1.202,0.7,0.001,2.371,735.0,2807.0,1.0
U[13],0.503,0.394,0.0,1.209,7051.0,10112.0,1.0
U[14],0.731,0.507,0.0,1.623,1828.0,9092.0,1.0
U[15],0.424,0.349,0.0,1.067,9154.0,10451.0,1.0
U[16],1.603,0.833,0.045,2.99,493.0,1169.0,1.01
U[17],0.792,0.538,0.0,1.725,1452.0,7308.0,1.0
U[18],0.397,0.33,0.0,1.008,14539.0,9914.0,1.0
U[19],0.558,0.425,0.0,1.327,4699.0,10278.0,1.0
U[20],0.965,0.614,0.001,2.025,1038.0,5087.0,1.0
U[21],0.543,0.418,0.0,1.301,4795.0,9657.0,1.0
U[22],0.836,0.565,0.0,1.829,1532.0,5883.0,1.0
U[23],0.549,0.421,0.0,1.305,4334.0,7957.0,1.0
U[24],0.535,0.414,0.0,1.29,5342.0,6925.0,1.0
U[25],0.686,0.491,0.0,1.562,2229.0,8088.0,1.0
U[26],0.699,0.497,0.0,1.57,2070.0,7216.0,1.0
U[27],1.182,0.688,0.0,2.344,761.0,3095.0,1.0
U[28],0.464,0.373,0.0,1.137,8930.0,9392.0,1.0
U[29],0.631,0.462,0.0,1.462,3072.0,8748.0,1.0
U[30],0.63,0.471,0.0,1.477,2786.0,7483.0,1.0
U[31],1.141,0.675,0.0,2.29,794.0,2744.0,1.0
U[32],0.495,0.39,0.0,1.202,5236.0,6860.0,1.0
U[33],0.565,0.427,0.0,1.333,4245.0,10433.0,1.0
U[34],0.456,0.367,0.0,1.119,9242.0,9696.0,1.0
U[35],0.987,0.622,0.0,2.057,978.0,3288.0,1.0
U[36],1.295,0.726,0.005,2.499,680.0,2756.0,1.0
U[37],1.267,0.721,0.001,2.462,657.0,2143.0,1.0
U[38],0.62,0.457,0.0,1.439,3113.0,8485.0,1.0
U[39],0.643,0.471,0.0,1.483,3189.0,9418.0,1.0
U[40],0.576,0.44,0.0,1.374,4458.0,9449.0,1.0
U[41],0.735,0.517,0.0,1.641,1840.0,7859.0,1.0
U[42],0.917,0.59,0.001,1.926,1181.0,7077.0,1.0
U[43],1.044,0.637,0.0,2.132,939.0,6027.0,1.0
U[44],0.648,0.471,0.0,1.478,2691.0,9666.0,1.0
U[45],0.56,0.429,0.0,1.338,4494.0,10431.0,1.0
U[46],1.199,0.698,0.0,2.368,712.0,2433.0,1.0
U[47],0.719,0.504,0.0,1.612,1978.0,8300.0,1.0
U[48],0.441,0.358,0.0,1.1,8174.0,8897.0,1.0
U[49],0.728,0.513,0.0,1.633,1845.0,7684.0,1.0
U[50],0.936,0.602,0.0,1.971,1233.0,4146.0,1.0
U[51],0.314,0.275,0.0,0.812,17813.0,11159.0,1.0
U[52],0.438,0.354,0.0,1.084,9858.0,10331.0,1.0
U[53],0.801,0.543,0.0,1.749,1499.0,7494.0,1.0
U[54],1.714,0.852,0.155,3.194,479.0,980.0,1.01
U[55],1.454,0.786,0.001,2.73,534.0,1224.0,1.01
U[56],0.64,0.471,0.0,1.488,2878.0,9635.0,1.0
U[57],0.397,0.333,0.0,1.0,12249.0,10530.0,1.0
U[58],1.656,0.843,0.066,3.051,487.0,1498.0,1.0
U[59],0.531,0.41,0.0,1.272,5514.0,9229.0,1.0
U[60],0.85,0.567,0.0,1.843,1535.0,7231.0,1.0
U[61],0.33,0.286,0.0,0.86,17050.0,10445.0,1.0
U[62],0.666,0.481,0.0,1.515,2765.0,8117.0,1.0
U[63],0.297,0.265,0.0,0.79,16622.0,10158.0,1.0
U[64],1.111,0.675,0.0,2.253,750.0,2763.0,1.0
U[65],0.946,0.608,0.0,2.006,1068.0,5377.0,1.0
U[66],0.817,0.555,0.0,1.792,1480.0,6956.0,1.0
U[67],0.512,0.399,0.0,1.23,5139.0,9784.0,1.0
U[68],0.891,0.589,0.0,1.916,1295.0,6794.0,1.0
U[69],0.377,0.32,0.0,0.96,11889.0,8432.0,1.0
U[70],0.59,0.445,0.0,1.393,3442.0,8388.0,1.0
U[71],0.759,0.528,0.0,1.693,2026.0,7065.0,1.0
U[72],1.108,0.664,0.002,2.229,760.0,2991.0,1.0
U[73],0.689,0.493,0.001,1.56,2574.0,9626.0,1.0
U[74],0.802,0.549,0.0,1.759,1510.0,7165.0,1.0
U[75],1.104,0.673,0.0,2.237,870.0,4046.0,1.0
U[76],0.726,0.509,0.0,1.628,2044.0,8150.0,1.0
U[77],1.133,0.672,0.0,2.254,777.0,3422.0,1.0
U[78],0.986,0.621,0.001,2.047,994.0,5734.0,1.0
U[79],0.956,0.614,0.001,2.016,1020.0,4066.0,1.0
U[80],1.164,0.693,0.0,2.333,747.0,2719.0,1.0
U[81],0.896,0.587,0.001,1.926,1263.0,5330.0,1.0
U[82],0.536,0.414,0.0,1.293,5819.0,9761.0,1.0
U[83],0.376,0.314,0.0,0.955,14470.0,10843.0,1.0
U[84],1.578,0.819,0.023,2.913,510.0,1448.0,1.0
U[85],0.643,0.475,0.0,1.485,2687.0,7971.0,1.0
U[86],0.792,0.535,0.0,1.721,1664.0,6061.0,1.0
U[87],1.067,0.654,0.001,2.174,925.0,4075.0,1.0
U[88],0.532,0.408,0.0,1.266,5273.0,9326.0,1.0
U[89],0.916,0.593,0.002,1.941,1208.0,6764.0,1.0
U[90],1.402,0.769,0.004,2.67,612.0,2022.0,1.0
U[91],1.42,0.765,0.038,2.7,570.0,1382.0,1.0
U[92],0.342,0.292,0.0,0.872,16247.0,10009.0,1.0
U[93],1.539,0.807,0.0,2.844,507.0,1215.0,1.0
U[94],0.544,0.418,0.0,1.302,5202.0,9459.0,1.0
U[95],0.947,0.601,0.0,1.983,1159.0,6370.0,1.0
U[96],0.449,0.36,0.0,1.108,10266.0,11062.0,1.0
U[97],1.007,0.63,0.0,2.092,1068.0,4841.0,1.0
U[98],0.909,0.589,0.0,1.937,1178.0,6204.0,1.0
U[99],1.036,0.641,0.001,2.114,962.0,3971.0,1.0
U[100],0.696,0.499,0.0,1.593,2599.0,8140.0,1.0
U[101],0.958,0.61,0.002,1.998,1103.0,5251.0,1.0
U[102],0.699,0.495,0.0,1.569,2313.0,8285.0,1.0
U[103],0.405,0.337,0.0,1.032,13560.0,10515.0,1.0
U[104],0.777,0.531,0.0,1.7,1626.0,7349.0,1.0
U[105],0.413,0.335,0.0,1.022,12424.0,10355.0,1.0
U[106],0.892,0.59,0.0,1.91,1188.0,4702.0,1.0
U[107],1.107,0.67,0.002,2.237,850.0,3336.0,1.0
U[108],0.662,0.48,0.0,1.514,2346.0,9070.0,1.0
U[109],0.332,0.286,0.0,0.856,15822.0,10038.0,1.0
U[110],0.666,0.481,0.0,1.514,2609.0,8416.0,1.0
U[111],0.821,0.554,0.0,1.789,1319.0,7280.0,1.0
U[112],0.81,0.549,0.0,1.763,1542.0,8234.0,1.0
U[113],1.722,0.868,0.02,3.104,476.0,1103.0,1.0
U[114],0.818,0.552,0.0,1.772,1442.0,5891.0,1.0
U[115],0.402,0.338,0.0,1.019,13528.0,10069.0,1.0
U[116],0.84,0.561,0.0,1.816,1327.0,5781.0,1.0
U[117],1.552,0.799,0.019,2.858,539.0,1398.0,1.0
U[118],1.367,0.762,0.001,2.624,581.0,1755.0,1.0
U[119],0.495,0.39,0.0,1.197,6740.0,9837.0,1.0
U[120],1.297,0.731,0.001,2.498,622.0,1967.0,1.0
U[121],0.682,0.487,0.0,1.545,2543.0,9675.0,1.0
U[122],0.497,0.391,0.0,1.199,5842.0,9411.0,1.0
U[123],0.763,0.528,0.0,1.697,1844.0,7004.0,1.0
U[124],0.924,0.595,0.0,1.945,1023.0,4483.0,1.0
U[125],0.787,0.538,0.0,1.734,1710.0,6023.0,1.0
U[126],0.45,0.367,0.0,1.118,8090.0,8645.0,1.0
U[127],0.78,0.535,0.0,1.712,1576.0,6175.0,1.0
U[128],0.585,0.444,0.0,1.379,3553.0,8002.0,1.0
U[129],1.583,0.819,0.038,2.936,498.0,1294.0,1.01
U[130],0.551,0.424,0.0,1.311,4888.0,7575.0,1.0
U[131],0.91,0.596,0.0,1.938,1183.0,6101.0,1.0
U[132],1.264,0.715,0.002,2.45,669.0,1937.0,1.0
U[133],1.148,0.685,0.001,2.301,798.0,2540.0,1.0
U[134],0.675,0.485,0.0,1.548,2363.0,8397.0,1.0
U[135],0.662,0.474,0.0,1.502,2071.0,7584.0,1.0
U[136],0.652,0.479,0.0,1.508,2379.0,7300.0,1.0
U[137],1.068,0.658,0.0,2.191,980.0,5313.0,1.0
U[138],0.259,0.232,0.0,0.685,19152.0,10260.0,1.0
U[139],0.41,0.339,0.0,1.033,12330.0,9794.0,1.0
U[140],1.032,0.637,0.001,2.123,882.0,4169.0,1.0
U[141],0.635,0.469,0.0,1.481,3153.0,7791.0,1.0
U[142],1.365,0.756,0.007,2.613,568.0,1990.0,1.01
U[143],1.242,0.711,0.0,2.43,689.0,2222.0,1.0
U[144],0.464,0.37,0.0,1.148,8473.0,9114.0,1.0
U[145],1.209,0.708,0.002,2.396,688.0,2190.0,1.01
U[146],0.767,0.527,0.0,1.703,1734.0,7336.0,1.0
U[147],0.614,0.458,0.0,1.434,3286.0,9698.0,1.0
U[148],0.519,0.404,0.0,1.255,7055.0,10229.0,1.0
U[149],1.126,0.669,0.001,2.25,778.0,2936.0,1.0
U[150],1.447,0.775,0.03,2.739,554.0,1407.0,1.0
U[151],1.735,0.865,0.083,3.185,464.0,1092.0,1.0
U[152],0.649,0.47,0.0,1.499,2912.0,8847.0,1.0
U[153],0.478,0.379,0.0,1.162,8367.0,10379.0,1.0
U[154],1.308,0.745,0.001,2.534,674.0,2343.0,1.0
U[155],0.526,0.406,0.0,1.261,5073.0,10675.0,1.0
U[156],0.777,0.538,0.0,1.718,1617.0,7743.0,1.0
U[157],0.268,0.242,0.0,0.709,14129.0,8384.0,1.0
U[158],1.08,0.655,0.001,2.19,854.0,3365.0,1.0
U[159],0.422,0.345,0.0,1.054,12654.0,11679.0,1.0
U[160],0.839,0.563,0.0,1.823,1566.0,7371.0,1.0
U[161],0.78,0.531,0.0,1.718,1636.0,7444.0,1.0
U[162],0.345,0.296,0.0,0.886,16064.0,10108.0,1.0
U[163],0.45,0.362,0.0,1.102,9417.0,10842.0,1.0
U[164],0.325,0.281,0.0,0.843,17995.0,10518.0,1.0
U[165],0.655,0.477,0.0,1.508,2460.0,8776.0,1.0
U[166],0.798,0.544,0.0,1.751,1586.0,6000.0,1.0
U[167],1.29,0.729,0.003,2.496,647.0,1836.0,1.0
U[168],1.734,0.863,0.06,3.143,451.0,998.0,1.01
U[169],0.851,0.564,0.0,1.824,1294.0,5788.0,1.0
U[170],0.971,0.615,0.0,2.031,1077.0,4673.0,1.0
U[171],0.698,0.498,0.0,1.583,2159.0,9027.0,1.0
U[172],1.495,0.794,0.034,2.798,519.0,1576.0,1.0
U[173],0.779,0.533,0.0,1.708,1616.0,6502.0,1.0
U[174],0.46,0.371,0.0,1.143,7647.0,9628.0,1.0
U[175],0.68,0.491,0.0,1.552,2127.0,8514.0,1.0
U[176],0.585,0.447,0.0,1.392,3725.0,8915.0,1.0
U[177],0.891,0.583,0.0,1.901,1342.0,5230.0,1.0
U[178],0.876,0.579,0.001,1.889,1172.0,5766.0,1.0
U[179],0.407,0.335,0.0,1.023,12694.0,10308.0,1.0
U[180],0.891,0.584,0.0,1.904,1200.0,5160.0,1.0
U[181],0.964,0.614,0.0,2.011,1011.0,4269.0,1.0
U[182],0.685,0.49,0.0,1.547,2088.0,8805.0,1.0
U[183],1.558,0.817,0.007,2.872,509.0,1327.0,1.0
U[184],0.731,0.509,0.0,1.629,1909.0,7868.0,1.0
U[185],0.413,0.341,0.0,1.039,10728.0,10493.0,1.0
U[186],0.791,0.537,0.0,1.732,1493.0,5920.0,1.0
U[187],0.544,0.416,0.0,1.291,4694.0,9882.0,1.0
U[188],0.612,0.454,0.0,1.436,3403.0,8374.0,1.0
U[189],0.731,0.518,0.0,1.649,1848.0,5795.0,1.0
U[190],0.612,0.456,0.0,1.432,3034.0,8038.0,1.0
U[191],0.51,0.402,0.0,1.239,5558.0,9555.0,1.0
U[192],1.005,0.629,0.001,2.075,1046.0,4461.0,1.0
U[193],0.583,0.439,0.0,1.383,3705.0,8640.0,1.0
U[194],2.213,1.005,0.28,3.909,367.0,683.0,1.01
U[195],0.964,0.614,0.0,2.012,1086.0,4524.0,1.0
U[196],0.782,0.533,0.0,1.72,1823.0,8728.0,1.0
U[197],1.003,0.633,0.0,2.08,947.0,3866.0,1.0
U[198],0.525,0.402,0.0,1.248,4391.0,8521.0,1.0
U[199],1.35,0.751,0.001,2.588,620.0,1713.0,1.0
U[200],0.597,0.45,0.0,1.406,3490.0,8732.0,1.0
U[201],0.679,0.491,0.0,1.552,2842.0,9243.0,1.0
U[202],1.591,0.829,0.012,2.943,496.0,1308.0,1.0
U[203],0.797,0.541,0.001,1.75,1672.0,6546.0,1.0
U[204],0.519,0.409,0.0,1.261,5785.0,10532.0,1.0
U[205],0.684,0.489,0.0,1.55,2430.0,8401.0,1.0
U[206],0.677,0.487,0.0,1.539,2265.0,8723.0,1.0
U[207],0.488,0.388,0.0,1.187,6846.0,9888.0,1.0
U[208],0.459,0.374,0.0,1.14,9112.0,10400.0,1.0
U[209],0.732,0.511,0.0,1.63,1772.0,9187.0,1.0
