,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.307,0.522,3.323,5.289,5290.0,9661.0,1.0
beta,2.268,0.165,1.95,2.571,20233.0,18229.0,1.0
sigma_u,0.851,0.373,0.281,1.565,1997.0,3871.0,1.0
sigma_v,1.62,0.313,1.059,2.221,5400.0,6300.0,1.0
lam,-1.212,0.664,-2.322,-0.0,9935.0,9283.0,1.0
U[0],0.591,0.491,0.0,1.489,5882.0,8389.0,1.0
U[1],1.006,0.828,0.0,2.552,3622.0,7273.0,1.0
U[2],0.98,0.809,0.0,2.508,3553.0,6978.0,1.0
U[3],1.247,1.031,0.0,3.22,2964.0,5593.0,1.0
U[4],0.318,0.289,0.0,0.845,15858.0,10650.0,1.0
U[5],0.566,0.477,0.0,1.432,7896.0,9240.0,1.0
U[6],0.398,0.352,0.0,1.037,10682.0,9426.0,1.0
U[7],0.926,0.762,0.0,2.359,3864.0,7499.0,1.0
U[8],0.537,0.451,0.0,1.363,7442.0,9101.0,1.0
U[9],0.775,0.633,0.0,1.951,4578.0,8493.0,1.0
U[10],0.526,0.449,0.0,1.35,7698.0,7994.0,1.0
U[11],0.733,0.608,0.0,1.863,4735.0,9515.0,1.0
U[12],0.612,0.506,0.0,1.548,6173.0,9315.0,1.0
U[13],0.536,0.45,0.0,1.365,7795.0,9944.0,1.0
U[14],0.653,0.545,0.0,1.657,6101.0,9748.0,1.0
U[15],0.619,0.513,0.0,1.561,6166.0,8669.0,1.0
U[16],0.935,0.767,0.0,2.373,3582.0,7727.0,1.0
U[17],0.428,0.37,0.0,1.101,11728.0,11263.0,1.0
U[18],0.972,0.796,0.0,2.465,3465.0,7239.0,1.0
U[19],0.758,0.617,0.0,1.908,4449.0,9944.0,1.0
U[20],0.409,0.355,0.0,1.057,10631.0,10154.0,1.0
U[21],0.629,0.532,0.0,1.605,6440.0,11418.0,1.0
U[22],0.602,0.5,0.0,1.509,6824.0,9404.0,1.0
U[23],0.694,0.579,0.0,1.769,5258.0,9242.0,1.0
U[24],0.908,0.755,0.0,2.319,3534.0,7130.0,1.0
U[25],0.721,0.595,0.0,1.811,4726.0,9255.0,1.0
U[26],0.564,0.475,0.0,1.455,7701.0,10451.0,1.0
U[27],0.493,0.418,0.0,1.251,9466.0,10369.0,1.0
U[28],0.609,0.509,0.0,1.553,6226.0,8530.0,1.0
U[29],0.686,0.564,0.0,1.724,4984.0,9653.0,1.0
U[30],0.732,0.604,0.0,1.852,4761.0,8797.0,1.0
U[31],0.74,0.621,0.0,1.885,4684.0,8485.0,1.0
U[32],0.876,0.728,0.0,2.232,4078.0,7935.0,1.0
U[33],0.55,0.463,0.0,1.402,7950.0,9585.0,1.0
U[34],0.647,0.538,0.0,1.645,6438.0,9541.0,1.0
U[35],0.928,0.761,0.0,2.352,3772.0,7522.0,1.0
U[36],0.502,0.427,0.0,1.276,8501.0,8897.0,1.0
U[37],1.103,0.906,0.001,2.808,3126.0,6525.0,1.0
U[38],1.018,0.836,0.0,2.597,3013.0,6779.0,1.0
U[39],0.51,0.429,0.0,1.286,9294.0,10194.0,1.0
U[40],0.667,0.557,0.0,1.696,5460.0,7732.0,1.0
U[41],0.511,0.431,0.0,1.298,8401.0,10978.0,1.0
U[42],0.573,0.476,0.0,1.455,7201.0,10646.0,1.0
U[43],0.631,0.517,0.0,1.589,6106.0,10403.0,1.0
U[44],0.5,0.423,0.0,1.257,7996.0,9501.0,1.0
U[45],0.289,0.267,0.0,0.773,17126.0,10548.0,1.0
U[46],0.74,0.614,0.0,1.879,5150.0,9216.0,1.0
U[47],0.913,0.751,0.0,2.322,4102.0,7354.0,1.0
U[48],0.468,0.394,0.0,1.187,10694.0,11045.0,1.0
U[49],0.556,0.465,0.0,1.402,8170.0,9461.0,1.0
