,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,5.004,0.355,4.337,5.632,2131.0,4773.0,1.0
beta,1.916,0.065,1.793,2.038,35984.0,18542.0,1.0
sigma_u,0.746,0.257,0.31,1.227,491.0,994.0,1.01
sigma_v,1.516,0.141,1.271,1.795,1878.0,2327.0,1.0
lam,-0.519,0.326,-1.062,-0.0,11070.0,12011.0,1.0
U[0],0.853,0.655,0.001,2.035,1450.0,3697.0,1.0
U[1],0.349,0.31,0.0,0.909,10387.0,13412.0,1.0
U[2],0.599,0.482,0.0,1.471,2851.0,6733.0,1.0
U[3],0.595,0.481,0.0,1.46,2956.0,6408.0,1.0
U[4],0.914,0.7,0.0,2.186,1355.0,3989.0,1.0
U[5],0.607,0.485,0.0,1.473,2696.0,6798.0,1.0
U[6],0.421,0.361,0.0,1.074,6648.0,9721.0,1.0
U[7],0.64,0.506,0.0,1.562,2719.0,6604.0,1.0
U[8],0.578,0.471,0.0,1.433,3011.0,5844.0,1.0
U[9],0.44,0.37,0.0,1.113,5399.0,9619.0,1.0
U[10],0.588,0.477,0.0,1.456,3120.0,6515.0,1.0
U[11],0.673,0.538,0.0,1.654,2309.0,5762.0,1.0
U[12],0.746,0.584,0.0,1.816,1819.0,4970.0,1.0
U[13],0.494,0.41,0.0,1.244,4081.0,9020.0,1.0
U[14],0.626,0.503,0.0,1.537,2497.0,6464.0,1.0
U[15],0.447,0.375,0.0,1.128,5515.0,10021.0,1.0
U[16],0.822,0.634,0.0,1.965,1564.0,4294.0,1.0
U[17],0.624,0.502,0.0,1.533,2756.0,5925.0,1.0
U[18],0.461,0.391,0.0,1.166,5372.0,9024.0,1.0
U[19],0.566,0.462,0.0,1.418,3304.0,7441.0,1.0
U[20],0.651,0.521,0.0,1.588,2555.0,5251.0,1.0
U[21],0.555,0.455,0.0,1.382,3778.0,6409.0,1.0
U[22],0.764,0.601,0.0,1.861,1760.0,3939.0,1.0
U[23],0.469,0.391,0.0,1.183,4574.0,10345.0,1.0
U[24],0.559,0.459,0.0,1.395,3241.0,7269.0,1.0
U[25],0.489,0.409,0.0,1.242,4559.0,8712.0,1.0
U[26],0.527,0.434,0.0,1.31,3914.0,7706.0,1.0
U[27],0.961,0.725,0.0,2.286,1320.0,3371.0,1.0
U[28],0.394,0.342,0.0,1.019,8520.0,11655.0,1.0
U[29],0.625,0.507,0.0,1.54,2671.0,6202.0,1.0
U[30],0.466,0.391,0.0,1.176,4714.0,10105.0,1.0
U[31],0.608,0.489,0.0,1.505,2851.0,6409.0,1.0
U[32],0.477,0.398,0.0,1.204,4563.0,8295.0,1.0
U[33],0.576,0.468,0.0,1.423,3040.0,6335.0,1.0
U[34],0.441,0.376,0.0,1.133,5814.0,10003.0,1.0
U[35],0.605,0.495,0.0,1.515,3017.0,6247.0,1.0
U[36],0.825,0.643,0.0,1.997,1628.0,4207.0,1.0
U[37],0.722,0.575,0.0,1.774,2050.0,4971.0,1.0
U[38],0.574,0.47,0.0,1.44,3164.0,5903.0,1.0
U[39],0.525,0.431,0.0,1.31,3625.0,8248.0,1.0
