,mean,sd,hdi_3%,hdi_97%,ess_bulk,ess_tail,r_hat
alpha,4.25,0.551,3.25,5.297,5670.0,9798.0,1.0
beta,2.297,0.176,1.958,2.628,24707.0,17158.0,1.0
sigma_u,0.843,0.361,0.28,1.522,2062.0,3675.0,1.0
sigma_v,1.615,0.294,1.095,2.177,6714.0,6407.0,1.0
lam,-0.873,0.548,-1.813,-0.001,11242.0,10937.0,1.0
U[0],0.582,0.496,0.0,1.497,7047.0,10321.0,1.0
U[1],0.938,0.78,0.0,2.398,3805.0,7003.0,1.0
U[2],1.007,0.824,0.0,2.552,3544.0,5895.0,1.0
U[3],1.2,0.977,0.0,3.045,3219.0,5223.0,1.0
U[4],0.346,0.309,0.0,0.913,17893.0,11076.0,1.0
U[5],0.588,0.496,0.0,1.484,7330.0,9876.0,1.0
U[6],0.421,0.364,0.0,1.076,12329.0,9974.0,1.0
U[7],0.823,0.677,0.0,2.085,4464.0,8488.0,1.0
U[8],0.52,0.447,0.0,1.32,8566.0,9626.0,1.0
U[9],0.719,0.596,0.0,1.807,5266.0,9001.0,1.0
U[10],0.535,0.454,0.0,1.357,8818.0,9945.0,1.0
U[11],0.705,0.589,0.0,1.777,5572.0,8718.0,1.0
U[12],0.617,0.518,0.0,1.579,6570.0,8269.0,1.0
U[13],0.522,0.448,0.0,1.343,8516.0,9367.0,1.0
U[14],0.615,0.518,0.0,1.564,6647.0,8971.0,1.0
U[15],0.65,0.539,0.0,1.64,5918.0,9924.0,1.0
U[16],0.945,0.779,0.0,2.394,3791.0,6876.0,1.0
U[17],0.446,0.387,0.0,1.157,10634.0,9968.0,1.0
U[18],0.89,0.734,0.0,2.255,3824.0,7432.0,1.0
U[19],0.691,0.579,0.0,1.757,5488.0,9890.0,1.0
U[20],0.423,0.371,0.0,1.094,10035.0,9391.0,1.0
U[21],0.631,0.529,0.0,1.608,6425.0,9310.0,1.0
U[22],0.637,0.536,0.0,1.612,6360.0,9751.0,1.0
U[23],0.684,0.572,0.0,1.74,5559.0,9663.0,1.0
U[24],0.817,0.676,0.0,2.062,4210.0,7690.0,1.0
U[25],0.768,0.631,0.0,1.934,4625.0,9294.0,1.0
U[26],0.555,0.472,0.0,1.413,7449.0,10864.0,1.0
U[27],0.523,0.439,0.0,1.322,8689.0,10088.0,1.0
U[28],0.622,0.522,0.0,1.565,6288.0,8717.0,1.0
U[29],0.68,0.568,0.0,1.731,5840.0,9802.0,1.0
U[30],0.712,0.591,0.0,1.807,5116.0,8495.0,1.0
U[31],0.749,0.63,0.0,1.913,5139.0,9060.0,1.0
U[32],0.883,0.733,0.0,2.232,3913.0,7607.0,1.0
U[33],0.576,0.481,0.0,1.461,7458.0,10308.0,1.0
U[34],0.659,0.554,0.0,1.675,6254.0,9694.0,1.0
U[35],1.005,0.827,0.0,2.565,3372.0,6192.0,1.0
U[36],0.51,0.434,0.0,1.296,9793.0,10927.0,1.0
U[37],1.055,0.871,0.0,2.692,3312.0,6415.0,1.0
U[38],0.959,0.784,0.0,2.418,3621.0,7017.0,1.0
U[39],0.539,0.458,0.0,1.371,9032.0,10550.0,1.0
U[40],0.655,0.555,0.0,1.691,6144.0,9623.0,1.0
U[41],0.528,0.452,0.0,1.334,7485.0,8059.0,1.0
U[42],0.559,0.475,0.0,1.432,8272.0,11122.0,1.0
U[43],0.636,0.529,0.0,1.6,6030.0,9347.0,1.0
U[44],0.51,0.435,0.0,1.304,9188.0,9237.0,1.0
U[45],0.295,0.271,0.0,0.795,16590.0,11725.0,1.0
U[46],0.746,0.621,0.0,1.879,5139.0,9083.0,1.0
U[47],0.857,0.71,0.0,2.167,4126.0,7817.0,1.0
U[48],0.487,0.418,0.0,1.255,10020.0,9769.0,1.0
U[49],0.583,0.501,0.0,1.498,7585.0,8894.0,1.0
